Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
17-022207,2017-05,05/10/2017 13:30,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT                         ,1700,HAMILTON AVE        ,50, , ,,,882454.8,1034517
17-021969,2017-05,05/09/2017 11:21,Y, , ,1, ,69702,4,LARCENY-ALL OTHER UNDER $500                      ,721,N 2ND ST            ,35, ,@MORGAN STREET BREWERY,721,2ND,910261.4,1018660
17-022476,2017-05,05/12/2017 0:05,Y, , ,1, ,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999               ",3951,GRAVOIS AVE         ,15, , ,,,890816.3,1004148
17-022597,2017-05,05/12/2017 13:30,Y, , ,1, ,63701,6,LARCENY-SHOPLIFT UNDER $500                       ,4107,N GRAND BLVD        ,67, ,@ NU FASHION BEAUTY,4107,GRAND,901776.6,1031336
17-022571,2017-05,05/12/2017 13:15,Y, , ,1, ,41013,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,5326,CONDE ST            ,66, , ,5326,CONDE,902055.6,1035581
17-022648,2017-05,05/12/2017 21:10,Y, , ,1, ,91114,2,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",3262,WATSON RD           ,9, , ,3262,WATSON,878036.9,1008778
17-022455,2017-05,05/11/2017 20:00,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT                         ,0,N KINGSHIGHWAY BLVD / SAINT LO,55, , ,,,890079.4,1033431
17-022598,2017-05,05/12/2017 16:20,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT                         ,0,DELMAR BLVD / WALTON AVE,38, , ,,,889445,1026076
17-022695,2017-05,5/13/2017 4:09,Y, , ,1, ,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,5864,PLYMOUTH AVE        ,48, , ,5864,PLYMOUTH,880771.9,1031257
17-021904,2017-05,05/08/2017 17:00,Y, , ,1, ,266510,5,PUBLIC ORDER-TRESPASSING                          ,1353,SHAWMUT PL          ,78, , ,1353,SHAWMUT,882598.4,1032135
17-022783,2017-05,5/13/2017 15:30,Y, , ,1, ,91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",4102,MAFFITT AVE         ,57,@VICTIMS RESIDENCE, ,4201,MAFFITT,896585.6,1028993
17-022330,2017-05,4/25/2017 0:30,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,3916,N FLORISSANT AVE    ,65, , ,3916,FLORISSANT,904129.4,1030129
17-022126,2017-05,05/10/2017 7:23,Y, , ,1, ,92000,3,SIMPLE ASSAULT-HARRASSMENT                        ,3227,CHEROKEE ST         ,30, , ,3227,CHEROKEE,895145.8,1005631
17-022723,2017-05,05/09/2017 14:40,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT                         ,1122,OHIO AVE            ,31, , ,1122,OHIO,899911.9,1015418
17-022687,2017-05,5/13/2017 2:28,Y, , ,1, ,31111,4,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,1050,LUCAS AVE           ,35, , ,,,907448.3,1019220
17-022021,2017-05,05/09/2017 16:22,Y, , ,1, ,178200,3,SEX OFFNS-EXPOSURE/EXPOSING PERSON                ,3600,WISCONSIN AVE       ,18, , ,3600,WISCONSIN,0,0
17-015885,2017-05,04/01/2016 8:00,Y, , ,1, ,21000,6,RAPE -- FORCIBLE                                  ,4900,NATURAL BRIDGE AVE  ,55, , ,4900,NATURAL BRIDGE,0,0
17-022143,2017-05,05/08/2017 18:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3736,BAMBERGER AVE       ,15, , ,3736,BAMBERGER,891869.6,1003753
17-022196,2017-05,05/10/2017 13:00,Y, , ,1, ,241100,2,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,5008,MIAMI ST            ,14, , ,5008,MIAMI,884158.9,1005769
17-022900,2017-05,5/14/2017 1:30,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT                         ,650,19TH ST             ,36, ,ON THE EAST SIDE OF THE STREET PARKED AT THE CURB,1818,WASHINGTON,904169.6,1019938
17-022740,2017-05,5/13/2017 11:45,Y, , ,1, ,266510,1,PUBLIC ORDER-TRESPASSING                          ,7921,S BROADWAY          ,2, ,4 FAMILY FLAT VACANT (GARAGE),7921,BROADWAY,888495.9,987356.6
17-022300,2017-05,05/11/2017 4:18,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT                         ,2602,N TAYLOR AVE        ,57, , ,,,893235.5,1030210
17-022172,2017-05,05/05/2017 8:30,Y, , ,1, ,64601,6,"LARCENY-FROM MTR VEH $500 - $24,999               ",8540,GILMORE AVE         ,74, , ,8540,GILMORE,894563.5,1048199
17-022615,2017-05,05/12/2017 17:12,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT                         ,0,DR MARTIN LUTHER KING DR / N V,77, ,ALIAS N VANDEVENTER AVE/MLK CITY,,,896746.9,1025911
17-022501,2017-05,05/11/2017 20:00,Y, , ,1, ,65601,2,"LARCENY-MTR VEH PARTS $500 - $24,999              ",3515,MORGANFORD RD       ,15, , ,3515,MORGANFORD,887932.8,1005333
17-022587,2017-05,05/07/2017 12:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,5701,DELOR ST            ,7, , ,5701,DELOR,880238.8,1001632
17-022648,2017-05,05/12/2017 21:10,Y, , ,1, ,91114,2,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",3262,WATSON RD           ,9, , ,3262,WATSON,878036.9,1008778
17-022746,2017-05,05/12/2017 20:00,Y, , ,1, ,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,3407,S JEFFERSON AVE     ,18,NEBULA, ,,,898769.5,1005097
17-022510,2017-05,05/12/2017 7:54,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT                         ,0,I 64 WESTBOUND / S SKINKER BLV,44, , ,981,SKINKER,876096.1,1019530
17-022565,2017-05,05/12/2017 13:10,Y, , ,1, ,250000,4,LOITERING-BEGGING                                 ,400,COLE ST             ,62, , ,400,COLE,909779.8,1019712
17-022691,2017-05,5/13/2017 2:00,Y, , ,1, ,91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",5056,GRANBERRY WAY LN    ,52, , ,5056,GRANBERRY WAY,890020.4,1034172
17-022712,2017-05,05/12/2017 21:00,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT                         ,5310,MARDEL AVE          ,14, , ,5310,MARDEL,882696.9,1005052
